CB_id	strain	Drug 1	Drug 2	replicate	well	Drug 1 conc. (µg/ml)	Drug 2 conc. (µg/ml)	time in h 1	time in h 2	time in h 3	time in h 4	time in h 5	time in h 6	time in h 7	time in h 8	time in h 9	time in h 10	time in h 11	time in h 12	time in h 13	time in h 14	time in h 15	time in h 16	time in h 17	time in h 18	time in h 19	time in h 20	time in h 21	time in h 22	time in h 23	time in h 24	time in h 25	time in h 26	time in h 27	time in h 28	time in h 29	time in h 30	time in h 31	time in h 32	time in h 33	time in h 34	time in h 35	time in h 36	time in h 37	time in h 38	time in h 39	time in h 40	time in h 41	time in h 42	time in h 43	time in h 44	time in h 45	time in h 46	time in h 47	time in h 48	time in h 49	time in h 50	OD at time 1	OD at time 2	OD at time 3	OD at time 4	OD at time 5	OD at time 6	OD at time 7	OD at time 8	OD at time 9	OD at time 10	OD at time 11	OD at time 12	OD at time 13	OD at time 14	OD at time 15	OD at time 16	OD at time 17	OD at time 18	OD at time 19	OD at time 20	OD at time 21	OD at time 22	OD at time 23	OD at time 24	OD at time 25	OD at time 26	OD at time 27	OD at time 28	OD at time 29	OD at time 30	OD at time 31	OD at time 32	OD at time 33	OD at time 34	OD at time 35	OD at time 36	OD at time 37	OD at time 38	OD at time 39	OD at time 40	OD at time 41	OD at time 42	OD at time 43	OD at time 44	OD at time 45	OD at time 46	OD at time 47	OD at time 48	OD at time 49	OD at time 50
CB_1	E. coli BW25113 WT	Ciprofloxacin	Caffeine	1	D1	0.025	55.48571	0	0.33	0.66	0.99	1.33	1.66	1.99	2.33	2.66	2.99	3.33	3.66	3.99	4.33	4.66	4.99	5.33	5.66	5.99	6.33	6.66	6.99	7.33	7.66	7.99	8.33	8.66	8.99	9.33	9.66	9.99	10.33	10.66	10.99	11.33	11.66	11.99	12.33	12.66	12.99	13.33	13.66	13.99	14.33	14.66	14.99	15.33	15.66	15.99	NA	0.14	0.14	0.142	0.141	0.142	0.145	0.147	0.151	0.159	0.172	0.185	0.202	0.22	0.239	0.264	0.287	0.306	0.324	0.333	0.343	0.351	0.357	0.361	0.367	0.374	0.379	0.388	0.398	0.406	0.416	0.427	0.435	0.446	0.453	0.455	0.458	0.456	0.457	0.453	0.45	0.444	0.44	0.437	0.434	0.432	0.426	0.424	0.42	0.416	NA
CB_1	E. coli BW25113 WT	Ciprofloxacin	Caffeine	1	D2	0.02273	55.48571	0	0.33	0.66	0.99	1.33	1.66	1.99	2.33	2.66	2.99	3.33	3.66	3.99	4.33	4.66	4.99	5.33	5.66	5.99	6.33	6.66	6.99	7.33	7.66	7.99	8.33	8.66	8.99	9.33	9.66	9.99	10.33	10.66	10.99	11.33	11.66	11.99	12.33	12.66	12.99	13.33	13.66	13.99	14.33	14.66	14.99	15.33	15.66	15.99	NA	0.137	0.137	0.136	0.139	0.14	0.144	0.149	0.155	0.165	0.181	0.201	0.223	0.247	0.273	0.301	0.329	0.354	0.376	0.393	0.411	0.419	0.428	0.438	0.449	0.46	0.473	0.491	0.505	0.521	0.536	0.546	0.546	0.553	0.554	0.549	0.546	0.542	0.537	0.533	0.53	0.526	0.523	0.518	0.516	0.514	0.51	0.508	0.506	0.504	NA
CB_1	E. coli BW25113 WT	Ciprofloxacin	Caffeine	1	D3	0.02045	55.48571	0	0.33	0.66	0.99	1.33	1.66	1.99	2.33	2.66	2.99	3.33	3.66	3.99	4.33	4.66	4.99	5.33	5.66	5.99	6.33	6.66	6.99	7.33	7.66	7.99	8.33	8.66	8.99	9.33	9.66	9.99	10.33	10.66	10.99	11.33	11.66	11.99	12.33	12.66	12.99	13.33	13.66	13.99	14.33	14.66	14.99	15.33	15.66	15.99	NA	0.142	0.142	0.146	0.145	0.147	0.15	0.152	0.158	0.169	0.186	0.209	0.234	0.262	0.292	0.324	0.357	0.39	0.415	0.437	0.458	0.479	0.489	0.507	0.527	0.551	0.573	0.594	0.604	0.617	0.623	0.625	0.625	0.625	0.623	0.619	0.615	0.609	0.607	0.6	0.595	0.59	0.585	0.579	0.571	0.564	0.557	0.547	0.534	0.523	NA
CB_1	E. coli BW25113 WT	Ciprofloxacin	Caffeine	1	D4	0.01818	55.48571	0	0.33	0.66	0.99	1.33	1.66	1.99	2.33	2.66	2.99	3.33	3.66	3.99	4.33	4.66	4.99	5.33	5.66	5.99	6.33	6.66	6.99	7.33	7.66	7.99	8.33	8.66	8.99	9.33	9.66	9.99	10.33	10.66	10.99	11.33	11.66	11.99	12.33	12.66	12.99	13.33	13.66	13.99	14.33	14.66	14.99	15.33	15.66	15.99	NA	0.141	0.141	0.139	0.139	0.14	0.142	0.144	0.151	0.163	0.18	0.207	0.235	0.267	0.303	0.341	0.384	0.421	0.454	0.486	0.517	0.556	0.586	0.619	0.648	0.671	0.693	0.711	0.722	0.731	0.742	0.745	0.748	0.749	0.751	0.751	0.75	0.749	0.747	0.744	0.743	0.74	0.736	0.733	0.731	0.727	0.724	0.719	0.715	0.71	NA
CB_1	E. coli BW25113 WT	Ciprofloxacin	Caffeine	1	D5	0.01591	55.48571	0	0.33	0.66	0.99	1.33	1.66	1.99	2.33	2.66	2.99	3.33	3.66	3.99	4.33	4.66	4.99	5.33	5.66	5.99	6.33	6.66	6.99	7.33	7.66	7.99	8.33	8.66	8.99	9.33	9.66	9.99	10.33	10.66	10.99	11.33	11.66	11.99	12.33	12.66	12.99	13.33	13.66	13.99	14.33	14.66	14.99	15.33	15.66	15.99	NA	0.131	0.131	0.133	0.132	0.134	0.138	0.141	0.148	0.161	0.183	0.212	0.246	0.282	0.325	0.373	0.425	0.474	0.517	0.562	0.608	0.656	0.689	0.711	0.743	0.762	0.781	0.796	0.808	0.822	0.832	0.842	0.845	0.846	0.84	0.835	0.83	0.826	0.822	0.82	0.817	0.813	0.811	0.808	0.806	0.805	0.803	0.8	0.799	0.796	NA
CB_1	E. coli BW25113 WT	Ciprofloxacin	Caffeine	1	D6	0.01364	55.48571	0	0.33	0.66	0.99	1.33	1.66	1.99	2.33	2.66	2.99	3.33	3.66	3.99	4.33	4.66	4.99	5.33	5.66	5.99	6.33	6.66	6.99	7.33	7.66	7.99	8.33	8.66	8.99	9.33	9.66	9.99	10.33	10.66	10.99	11.33	11.66	11.99	12.33	12.66	12.99	13.33	13.66	13.99	14.33	14.66	14.99	15.33	15.66	15.99	NA	0.137	0.137	0.137	0.137	0.139	0.142	0.144	0.152	0.165	0.187	0.221	0.255	0.3	0.348	0.409	0.461	0.513	0.561	0.615	0.66	0.702	0.741	0.77	0.792	0.795	0.809	0.828	0.845	0.862	0.874	0.88	0.878	0.871	0.865	0.857	0.852	0.848	0.844	0.839	0.834	0.829	0.824	0.821	0.816	0.815	0.811	0.809	0.806	0.803	NA
CB_1	E. coli BW25113 WT	Ciprofloxacin	Caffeine	1	D7	0.01136	55.48571	0	0.33	0.66	0.99	1.33	1.66	1.99	2.33	2.66	2.99	3.33	3.66	3.99	4.33	4.66	4.99	5.33	5.66	5.99	6.33	6.66	6.99	7.33	7.66	7.99	8.33	8.66	8.99	9.33	9.66	9.99	10.33	10.66	10.99	11.33	11.66	11.99	12.33	12.66	12.99	13.33	13.66	13.99	14.33	14.66	14.99	15.33	15.66	15.99	NA	0.138	0.138	0.137	0.139	0.139	0.141	0.144	0.153	0.167	0.194	0.227	0.268	0.316	0.375	0.437	0.484	0.535	0.586	0.636	0.678	0.72	0.756	0.781	0.806	0.827	0.848	0.862	0.879	0.894	0.905	0.913	0.914	0.907	0.897	0.888	0.879	0.872	0.866	0.859	0.852	0.847	0.842	0.837	0.833	0.83	0.828	0.823	0.821	0.82	NA
CB_1	E. coli BW25113 WT	Ciprofloxacin	Caffeine	1	D8	0.00909	55.48571	0	0.33	0.66	0.99	1.33	1.66	1.99	2.33	2.66	2.99	3.33	3.66	3.99	4.33	4.66	4.99	5.33	5.66	5.99	6.33	6.66	6.99	7.33	7.66	7.99	8.33	8.66	8.99	9.33	9.66	9.99	10.33	10.66	10.99	11.33	11.66	11.99	12.33	12.66	12.99	13.33	13.66	13.99	14.33	14.66	14.99	15.33	15.66	15.99	NA	0.148	0.148	0.149	0.148	0.149	0.15	0.154	0.163	0.18	0.206	0.248	0.291	0.348	0.411	0.483	0.522	0.575	0.63	0.676	0.721	0.757	0.788	0.813	0.836	0.85	0.868	0.882	0.893	0.868	0.874	0.876	0.873	0.863	0.859	0.851	0.842	0.832	0.824	0.818	0.809	0.803	0.797	0.795	0.788	0.786	0.784	0.784	0.783	0.784	NA
CB_1	E. coli BW25113 WT	Ciprofloxacin	Caffeine	1	D9	0.00682	55.48571	0	0.33	0.66	0.99	1.33	1.66	1.99	2.33	2.66	2.99	3.33	3.66	3.99	4.33	4.66	4.99	5.33	5.66	5.99	6.33	6.66	6.99	7.33	7.66	7.99	8.33	8.66	8.99	9.33	9.66	9.99	10.33	10.66	10.99	11.33	11.66	11.99	12.33	12.66	12.99	13.33	13.66	13.99	14.33	14.66	14.99	15.33	15.66	15.99	NA	0.131	0.131	0.129	0.131	0.129	0.131	0.134	0.142	0.158	0.186	0.221	0.264	0.32	0.383	0.45	0.49	0.538	0.594	0.645	0.685	0.724	0.759	0.786	0.807	0.821	0.839	0.829	0.825	0.831	0.832	0.838	0.838	0.832	0.822	0.815	0.814	0.814	0.809	0.806	0.804	0.8	0.795	0.789	0.785	0.781	0.777	0.776	0.778	0.781	NA
CB_1	E. coli BW25113 WT	Ciprofloxacin	Caffeine	1	D10	0.00455	55.48571	0	0.33	0.66	0.99	1.33	1.66	1.99	2.33	2.66	2.99	3.33	3.66	3.99	4.33	4.66	4.99	5.33	5.66	5.99	6.33	6.66	6.99	7.33	7.66	7.99	8.33	8.66	8.99	9.33	9.66	9.99	10.33	10.66	10.99	11.33	11.66	11.99	12.33	12.66	12.99	13.33	13.66	13.99	14.33	14.66	14.99	15.33	15.66	15.99	NA	0.147	0.147	0.146	0.146	0.146	0.15	0.154	0.164	0.18	0.209	0.25	0.292	0.347	0.415	0.468	0.508	0.561	0.607	0.651	0.696	0.726	0.761	0.79	0.817	0.841	0.836	0.845	0.851	0.854	0.857	0.861	0.856	0.852	0.852	0.846	0.842	0.841	0.843	0.843	0.847	0.849	0.851	0.854	0.859	0.869	0.875	0.883	0.896	0.903	NA
